Server_cost,lamda,Utilization,used_server,CaseID,H_cost,FailureRates,min_server,T_cost,holding_costs,holding_cost_min,skillCost,Num_back_orders,param_name,BO_cost,var_level,S,machineCost,ServiceRates,penalty_cost,param_value,VNS_best_priority,num_SKU,VNS_run_time,VNS_best_cost,utilization_rate
700000,0,0.5714285714285714,7,Case: 0022,6915.422910339215,"[0.20098987924896647, 0.06522156778502702, 0.024439695916407985, 0.011585874349435046, 0.07193722439466484, 0.03553639353810447, 0.0010729390774776569, 0.03927583189368288, 0.04141552199488014, 0.0005455344691903801, 0.01832917069524063, 0.01528089805285754, 0.04899328875297068, 0.008197263802794093, 0.0322797722545274, 0.21000930478167676, 0.00032688644228809165, 0.00951127911857245, 0.11558455555035185, 0.04946711788088328]",4,828948.7453381749,"[116.23622944229507, 594.565543374771, 793.9179195539656, 487.8956907693768, 530.898404382879, 1359.4257101256412, 877.5751366659331, 1491.2599560302128, 630.2683027384687, 1673.5884215737647, 1150.2038411924445, 1867.1301393364306, 1230.802945516645, 1204.5306452238863, 1343.2297920099784, 506.6986414715843, 337.82643137506744, 1971.3377453882213, 656.8048364137235, 972.9044387946484]",1,100,7.256460241974384,holding_cost,122033.32242783564,0.05,"[3.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.525, 0.0, 1.0, 1.0]",100000,"[0.22583944799959493, 0.2943428808506016, 0.14787429356054224, 0.045322365856200156, 0.24066527890086528, 0.46481172516590413, 0.006804296760538573, 0.5843727796564988, 0.17089710837276598, 0.011976750124481007, 0.17473531297395478, 0.35160552328517336, 0.5561687084492176, 0.09578658896843173, 0.3948046932676345, 0.7028437141786761, 0.0007485877350063664, 0.29227112800022365, 0.4530609432485239, 0.32443343851453516]",16817.197139997286,2,"[19, 15, 19, 16, 13, 4, 20, 13, 9, 19, 4, 2, 15, 10, 9, 9, 16, 9, 1, 19]",20,64784.327738046646,828948.7453381749,0.8
900000,0,0.8888888888888888,9,Case: 0023,13708.985594611124,"[0.16824052302283832, 0.01713945737055406, 0.039332592411880564, 0.07267296225824957, 0.39695882785768993, 0.03319239126574961, 0.12347068401258703, 0.01120363898502441, 0.05747369786608465, 0.08031522494934205]",8,1013880.5580011507,"[308.8228857879252, 832.0707271206725, 480.7599845422184, 626.990675195428, 272.16044653523784, 1375.265324660028, 431.46695022196127, 1917.9267245591514, 1044.0876698415202, 358.22195557523605]",1,100,8.94554888034332,holding_cost,100171.5724065396,0.05,"[6.275, 2.0, 4.35, 2.0, 6.0, 1.0, 3.0, 0.0, 1.0, 3.95]",100000,"[0.1050838184788151, 0.04321328204158615, 0.05350108762981322, 0.1366538682461818, 0.16316234363196402, 0.2396418894230887, 0.13066699772430607, 6.672416221203157, 0.21149633564247877, 0.08493420896806653]",11197.92354236123,2,"[8, 9, 9, 6, 2, 6, 4, 5, 2, 8]",10,71603.97832989693,1013880.5580011507,0.8
600000,0,0.6666666666666666,6,Case: 0029,12139.012641536418,"[0.013429431839810126, 0.22669811246345392, 0.03623199975715838, 0.1260566479289808, 0.08859875136533081, 0.004380628077720801, 0.1750025530293857, 0.16661900694184614, 0.0025706795038294133, 0.16041218909248378]",5,656321.2715344756,"[691.4189666833624, 1105.8657478595953, 397.7460478811979, 794.1794698739413, 1950.019121569432, 1230.4322395367988, 845.6500164807209, 504.98189215007665, 598.2084666187486, 868.0565851060534]",100,100,1.9093864030480892,holding_cost,44182.25889293921,0.05,"[1.0, 1.0, 3.75, 2.0, 0.0, 1.0, 1.95, 3.0, 2.0, 1.925]",100000,"[0.04416745375958277, 1.6944103603337282, 0.029469824917840184, 0.377541780807207, 10.087253614780334, 0.03490708395067173, 0.7071847772804715, 0.22328675481360785, 0.004310310717788474, 0.5844902435323533]",23139.50639975645,2,"[6, 3, 9, 4, 2, 10, 4, 4, 10, 4]",10,35406.06669998169,656321.2715344756,0.8
1100000,0,0.7272727272727272,11,Case: 0032,22919.911015943824,"[0.14334617365713131, 0.1087591068796308, 0.07861822262943229, 0.06517083261027623, 0.05813460239023682, 0.10547911729477445, 0.01745223954956586, 0.027215177817078662, 0.05312877560843505, 0.006015926380889954, 0.001580795220005256, 0.008568199850681323, 0.009235015691582898, 0.050917739085476796, 0.02790578721217324, 0.03589337357655934, 0.04561795253492848, 0.09007838829162641, 0.01103796404204326, 0.05584460967747153]",8,1180185.9354265356,"[1641.371624565269, 1990.9393437959216, 728.6220096786302, 487.3301608262246, 1182.884192645045, 1042.2465140655208, 1431.393409829019, 747.1947468976439, 1448.1015117881088, 1356.4480462805843, 1600.8339915515126, 783.7946526716535, 606.8155440886183, 1168.8189985356405, 749.8674805594169, 1997.4698652913844, 689.9036811746878, 627.8861879833962, 953.5331277876755, 335.6944725857708]",100,100,2.0194990582175296,holding_cost,57266.02441059169,0.05,"[1.0, 0.0, 2.0, 3.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.6, 2.0, 1.0, 2.0, 0.0, 2.0, 2.0, 1.0, 5.0]",100000,"[3.014162880283163, 28.941189075803912, 0.14352842402821228, 0.059142990878765206, 0.3744948560740752, 0.4287118375475976, 0.16838809041716382, 0.059739248451646326, 0.6603458624720354, 0.04610556429057008, 0.028060335813981204, 0.02086466209308427, 0.013479673183031357, 0.24418843674342794, 0.06771842392078066, 2.4903076424616373, 0.07199765493412728, 0.1683753248717308, 0.04361990472190965, 0.029103331090202935]",28356.549203413048,2,"[14, 8, 19, 19, 6, 12, 19, 12, 14, 4, 13, 20, 3, 17, 20, 9, 13, 3, 5, 20]",20,85690.62649703026,1180185.9354265356,0.8
1100000,0,0.7272727272727272,11,Case: 0034,17487.96344513659,"[0.03906194856268693, 0.3157155163434645, 0.008908601623942632, 0.01863983585349391, 0.012739232193356041, 0.12093600122141741, 0.21640972664495398, 0.008247380616130262, 0.07336964303801174, 0.18597211390254256]",8,1174187.289497821,"[673.8241833052715, 458.7792722348852, 844.3920647815646, 1968.8164747359126, 502.64608372495593, 654.219113129329, 1807.663377813648, 1524.5667933963255, 406.1321342212134, 791.1891408856359]",100,100,2.5725242466639027,holding_cost,56699.32605268435,0.05,"[2.975, 3.95, 1.975, 0.8, 3.025, 3.0, 1.0, 1.0, 5.0, 2.0]",100000,"[0.04489785666335452, 0.2898550319550381, 0.0181863775728382, 0.2292024195209106, 0.00914383526386867, 0.12555441824108313, 1.8729537008287034, 0.045791398474347225, 0.03180996025521525, 0.3639257936706534]",22040.346607505486,2,"[8, 5, 8, 9, 5, 3, 4, 10, 6, 2]",10,48799.12580680847,1174187.289497821,0.8
600000,0,0.6666666666666666,6,Case: 0035,16679.875553641577,"[0.012850325802199379, 0.05158288260670764, 0.08746862172948289, 0.05444247621855121, 0.1213628526837491, 0.04539697213830179, 0.024252743334554586, 0.047797778799769104, 0.00043650714350139603, 0.015115791478347787, 0.005630388967303851, 0.07340089316853778, 0.06894515741648566, 0.08886716003379114, 0.03316700712018238, 0.02833444304613163, 0.027208331752179057, 0.051321321001957465, 0.10922188647591091, 0.05319645908235551]",5,668231.2370923231,"[1482.760523079791, 1348.6471623932123, 633.5424035023634, 343.0835458968325, 886.4813470335744, 1321.4400903046035, 634.4438174704628, 557.4037816288054, 1922.9800684924053, 469.74623528835355, 1977.0519727917226, 1014.877375405186, 964.8079232626189, 1592.4357218393836, 1962.0031664618646, 1731.1528053600898, 1277.940118294253, 626.5658266889747, 1560.3183339521038, 830.8553015199592]",100,100,1.927893788272908,holding_cost,51551.361538681536,0.05,"[0.0, 1.0, 2.0, 3.0, 1.0, 0.95, 2.0, 2.0, 0.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.95, 1.0, 0.85, 1.0]",100000,"[0.25619557339446436, 0.748568443000067, 0.2860812190721845, 0.05748124476305109, 0.6990173123196853, 0.5624202625479614, 0.0670929502244146, 0.12902071184463076, 0.03933635264528057, 0.02264349431114459, 1.0756725442023733, 0.6187333758439174, 0.5180256988670697, 2.053656200199729, 2.6467358169862605, 1.2945792923296506, 0.31694832707421633, 0.16505827806809334, 3.2036045630950136, 0.26921078206109234]",26739.73112640376,2,"[2, 16, 18, 18, 15, 10, 20, 18, 15, 12, 12, 7, 3, 17, 12, 15, 14, 4, 16, 7]",20,58240.71132397652,668231.2370923231,0.8
900000,0,0.8888888888888888,9,Case: 0041,16347.819215674866,"[0.14290645525029788, 0.007505659479552433, 0.000714480395800512, 0.05427855622310535, 0.033357031353923774, 0.030154759846313123, 0.06819346454475964, 0.1497972778832125, 0.021856113386051035, 0.0005198167031681064, 0.02083127064447485, 0.0357738718137987, 0.018128036838376865, 0.12380529809451903, 0.01051876617893033, 0.05275797636738622, 0.07912175402599042, 0.021654828499725637, 0.021971299621854245, 0.10615328284875944]",9,1128101.8516811205,"[188.72625047245432, 1492.282623202855, 853.1494660187592, 1553.247974812904, 1227.867354062776, 472.79310466727316, 750.3651952906284, 467.90240057583605, 331.77306523181994, 1902.5857516077924, 1574.7383120985705, 775.627305360805, 1062.5166097954645, 451.5089214113831, 419.78650649268553, 612.5703185766449, 166.43676955383785, 1613.702335098259, 1422.0757278777107, 734.4651033089755]",1,100,13.285001839721287,holding_cost,211754.03246544558,0.05,"[4.975, 0.0, 1.0, 0.0, 1.0, 2.0, 1.0, 2.0, 3.8, 0.0, 0.75, 1.0, 1.0, 2.8, 3.9, 2.175, 8.7, 0.0, 0.0, 1.0]",100000,"[0.12435273573572614, 0.09990324115271883, 0.002790369295143214, 0.8657946038053973, 0.3584720407472389, 0.06324221742055092, 0.26798878375797736, 0.28289746278606365, 0.02202718228213819, 0.15951901789344242, 0.45539098381651194, 0.14364963673376838, 0.11049726533217191, 0.1783312295768923, 0.017692701992696493, 0.126031992025453, 0.050791036384855014, 0.3775249047857452, 0.37341286630803777, 0.3970042331601033]",15939.330307980452,2,"[14, 14, 19, 5, 13, 13, 5, 3, 17, 16, 15, 12, 11, 12, 18, 16, 17, 8, 12, 5]",20,96455.19048810005,1128101.8516811205,0.8
500000,0,0.8,5,Case: 0044,11550.51629207893,"[0.16701897289508552, 0.047954138726693164, 0.010763891102607146, 0.05558661067709787, 0.0069127500514897435, 0.1252386606072997, 0.34905617776677256, 0.05423985329995583, 0.14058716746782873, 0.042641777405169695]",5,559920.6424611642,"[321.9092987623854, 2000.0, 1200.732463378417, 379.66870956244964, 707.8864269549778, 783.4491565896852, 663.272164283122, 206.73494273105626, 810.9130532098204, 425.88667337450823]",1,100,2.924385054480903,holding_cost,48370.12616908521,0.05,"[3.0, 0.55, 1.0, 3.0, 1.0, 1.875, 2.0, 5.65, 2.0, 2.0]",100000,"[0.3083352062966654, 1.6215542099890612, 0.08071969899904526, 0.07488698858790191, 0.027821259034662326, 0.6426471902915211, 1.3025848532884379, 0.045098546317134815, 0.5549690658923119, 0.11053307287722508]",16540.27266175836,2,"[5, 6, 8, 8, 9, 5, 4, 10, 5, 5]",10,50422.921506881714,559920.6424611642,0.8
80000,0,0.49999999999999994,8,Case: 0075,4623.21455660575,"[0.0806287803559207, 0.0458640594678305, 0.21565314934931268, 0.010481676986528538, 0.010344586379929023, 0.19598121393205822, 0.14598540141317906, 0.0661440156699186, 0.05465402258815169, 0.17426309385717104]",4,126038.86673307868,"[1088.3062239561123, 1952.3518727593591, 351.32950570347293, 182.84233205563328, 372.3762524944983, 288.3418628626776, 908.6532737608638, 1239.3381953311912, 650.2855692763881, 510.2722879050256]",1,100,2.531432706396561,holding_cost,41415.65217647294,0.05,"[0.0, 0.0, 2.0, 3.0, 1.95, 2.0, 1.0, 0.0, 1.0, 1.0]",10000,"[0.9032669049222143, 25.30443299353234, 0.2869269319361444, 0.009267721565534393, 0.022344869304938224, 0.2800995042425261, 0.8245979028135947, 0.7897835359078368, 0.18792363452402278, 0.5583815629532884]",16360.558221366751,2,"[5, 3, 5, 10, 8, 8, 8, 5, 2, 5]",10,31686.81540107727,124894.4679141248,0.8
110000,0,0.7272727272727273,11,Case: 0076,10926.87321110258,"[0.007129274192188778, 0.05612409110449591, 0.013903538796208138, 0.07614369081261467, 0.008618866715259344, 0.0009117179508376068, 0.0327223184751944, 0.02426687537510085, 0.1262556982372615, 0.012146642422455651, 0.0234781681665172, 0.01052151807748715, 0.039273445247152386, 0.036272737760990936, 0.016943224822250292, 0.1904491813326232, 0.10848404874721541, 0.13054330830718464, 0.012652898924042581, 0.07315875453291952]",9,159890.95316946614,"[1785.2472800798766, 737.5623468180838, 405.7879234280117, 89.88152206666015, 1714.2388716770656, 542.8884550366323, 289.46210743734434, 1725.2449201680674, 616.5570046593893, 590.2413393422441, 578.4050544451222, 1478.2523255011088, 218.95050351142558, 392.87311867419976, 887.0309062295478, 374.3917172309721, 299.14098705406025, 514.7996843044638, 1959.518837709729, 892.1921203570414]",1,100,2.853125955759837,holding_cost,38964.07995836356,0.05,"[0.0, 1.0, 1.7, 3.0, 0.0, 1.25, 3.0, 0.0, 1.0, 1.0, 1.0, 0.0, 3.0, 2.0, 1.0, 2.0, 3.0, 2.0, 0.0, 1.0]",10000,"[0.21423841789892223, 0.20212650071114366, 0.03083578235304982, 0.06417267625561132, 0.253879436570791, 0.002081723896452389, 0.030582072696307847, 0.5451327190173727, 0.5083446688120041, 0.0421436326038384, 0.07680968891875331, 0.14403767325276443, 0.046185058343101916, 0.07581250501438007, 0.10911063671069243, 0.36500583812797455, 0.12711488925510586, 0.279164278553375, 0.6238421288331462, 0.3608945548189909]",13656.628050263118,2,"[16, 6, 17, 18, 14, 7, 19, 5, 8, 14, 2, 2, 20, 20, 8, 16, 19, 9, 12, 18]",20,113296.86441516876,159890.95316946614,0.8
