num_SKU,lamda,skillCost,VNS_run_time,VNS_best_cost,CaseID,FailureRates,utilization_rate,holding_cost_min,machineCost,ServiceRates,holding_costs,penalty_cost,var_level,VNS_best_priority
10,0,100,53314.75162291527,464392.71877048106,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",0.65,1,100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]",25694.524691713945,0.05,"[9, 10, 6, 9, 9, 6, 9, 9, 10, 7]"
20,0,100,40338.66412401199,909326.1014715628,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",0.65,1,100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]",25694.524691713945,0.05,"[18, 18, 9, 5, 15, 2, 4, 18, 19, 11, 4, 18, 4, 5, 14, 9, 15, 13, 15, 11]"
30,0,100,83984.2489669323,1345945.274298009,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",0.65,1,100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]",25694.524691713945,0.05,"[3, 5, 26, 2, 28, 17, 15, 6, 1, 23, 19, 15, 22, 12, 28, 18, 10, 18, 8, 9, 19, 5, 24, 22, 26, 15, 23, 9, 14, 2]"
40,0,100,127043.85512518883,1735048.3810691384,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",0.65,1,100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]",25694.524691713945,0.05,"[28, 16, 7, 40, 30, 17, 32, 32, 19, 1, 12, 26, 3, 2, 38, 27, 28, 18, 35, 32, 25, 31, 11, 37, 40, 22, 37, 35, 37, 12, 25, 30, 28, 19, 34, 12, 26, 24, 28, 33]"
50,0,100,71017.77010011673,2183740.492326357,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",0.65,1,100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]",25694.524691713945,0.05,"[27, 4, 37, 42, 33, 40, 7, 13, 12, 37, 45, 13, 29, 14, 30, 10, 2, 36, 31, 29, 14, 49, 12, 23, 43, 35, 31, 36, 20, 20, 23, 15, 30, 36, 31, 9, 44, 36, 10, 24, 33, 39, 16, 13, 39, 37, 42, 20, 32, 12]"
