num_SKU,lamda,holding_cost_min,skillCost,GA_best_cost,CaseID,FailureRates,penalty_cost,best_cost_record,machineCost,ServiceRates,holding_costs,record_of_min,var_level,GA_best_priority,GA_run_time,utilization_rate
10,0.5,1,100,419308.97185907635,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",25694.524691713945,"[430703.08513264573, 419857.4979757677, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635]",100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]","[419857.4979757677, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635, 419308.97185907635]",0.05,"[5, 9, 2, 10, 4, 1, 9, 7, 10, 2]",168562.39063596725,0.65
20,0.5,1,100,748860.0543983151,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",25694.524691713945,"[802577.8267979849, 781646.9098980577, 764485.7826027778, 755540.0517973534, 755540.0517973534, 753882.8413715991, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151]",100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]","[781646.9098980577, 764485.7826027778, 755540.0517973534, 755540.0517973534, 753882.8413715991, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151, 748860.0543983151]",0.05,"[5, 15, 3, 18, 10, 3, 1, 12, 12, 1, 10, 12, 1, 14, 7, 1, 14, 20, 13, 1]",189040.3554918766,0.65
30,0.5,1,100,1092055.8514605453,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",25694.524691713945,"[1130168.7353994604, 1121595.5373692275, 1118153.656563275, 1106846.1207308348, 1098290.078637737, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453]",100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]","[1121595.5373692275, 1118153.656563275, 1106846.1207308348, 1098290.078637737, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453, 1092055.8514605453]",0.05,"[22, 29, 2, 23, 1, 20, 15, 30, 5, 9, 15, 29, 1, 22, 21, 11, 3, 27, 24, 21, 9, 30, 1, 28, 13, 13, 1, 27, 27, 19]",206448.83654117584,0.65
40,0.5,1,100,1477452.0390363936,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",25694.524691713945,"[1531173.0265991644, 1508264.8236331309, 1500585.8610507778, 1491047.5201706563, 1491047.5201706563, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936]",100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]","[1508264.8236331309, 1500585.8610507778, 1491047.5201706563, 1491047.5201706563, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936, 1477452.0390363936]",0.05,"[12, 36, 4, 31, 25, 1, 24, 39, 39, 24, 15, 36, 16, 4, 3, 12, 18, 9, 30, 16, 22, 23, 15, 20, 20, 18, 6, 33, 2, 2, 17, 27, 15, 8, 27, 20, 23, 28, 35, 27]",324324.42198204994,0.65
50,0.5,1,100,1813818.7343557754,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",25694.524691713945,"[1894465.883661842, 1860471.190119932, 1840246.731959931, 1823504.5224115378, 1823504.5224115378, 1818442.1355111627, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754]",100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]","[1860471.190119932, 1840246.731959931, 1823504.5224115378, 1823504.5224115378, 1818442.1355111627, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754, 1813818.7343557754]",0.05,"[14, 41, 19, 37, 25, 9, 42, 40, 33, 14, 7, 45, 20, 30, 26, 9, 44, 47, 16, 19, 32, 47, 4, 48, 13, 41, 35, 13, 10, 37, 31, 7, 20, 9, 4, 9, 43, 50, 37, 27, 17, 45, 24, 35, 21, 12, 11, 46, 7, 5]",223543.82880687714,0.65
