num_SKU,lamda,skillCost,VNS_run_time,VNS_best_cost,CaseID,FailureRates,utilization_rate,holding_cost_min,machineCost,ServiceRates,holding_costs,penalty_cost,var_level,VNS_best_priority
10,0.5,100,18487.027012109756,419380.3918955898,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",0.65,1,100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]",25694.524691713945,0.05,"[6, 9, 4, 10, 9, 4, 6, 10, 10, 4]"
20,0.5,100,65855.30289196968,737835.9641965163,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",0.65,1,100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]",25694.524691713945,0.05,"[15, 16, 11, 15, 12, 10, 17, 20, 18, 8, 15, 20, 5, 20, 12, 4, 15, 19, 18, 8]"
30,0.5,100,44441.334339141846,1081101.1416023073,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",0.65,1,100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]",25694.524691713945,0.05,"[20, 25, 2, 17, 21, 2, 18, 25, 26, 11, 19, 30, 15, 28, 15, 18, 22, 26, 23, 16, 16, 30, 12, 21, 6, 21, 25, 30, 28, 11]"
40,0.5,100,67047.03172898293,1459731.791279729,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",0.65,1,100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]",25694.524691713945,0.05,"[34, 2, 18, 7, 14, 39, 6, 40, 8, 9, 7, 40, 8, 40, 13, 2, 32, 40, 40, 26, 10, 25, 25, 32, 9, 39, 18, 36, 40, 13, 33, 40, 4, 37, 14, 12, 34, 40, 30, 26]"
50,0.5,100,72067.31820011139,1796568.1536513679,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",0.65,1,100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]",25694.524691713945,0.05,"[13, 46, 28, 46, 20, 13, 8, 15, 48, 38, 43, 38, 20, 44, 43, 10, 40, 13, 45, 23, 42, 49, 4, 23, 43, 35, 3, 47, 44, 26, 28, 45, 19, 47, 34, 35, 19, 47, 7, 11, 19, 49, 21, 31, 39, 18, 49, 45, 32, 11]"
