num_SKU,lamda,holding_cost_min,skillCost,GA_best_cost,CaseID,FailureRates,penalty_cost,best_cost_record,machineCost,ServiceRates,holding_costs,record_of_min,var_level,GA_best_priority,GA_run_time,utilization_rate
10,1,1,100,415641.1639033849,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",25694.524691713945,"[417316.0172992134, 416243.8487253333, 416095.80647573626, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849]",100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]","[416243.8487253333, 416095.80647573626, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849, 415641.1639033849]",0.05,"[8, 10, 1, 10, 8, 5, 1, 10, 10, 2]",173631.3858590126,0.65
20,1,1,100,734801.5473137208,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",25694.524691713945,"[748538.4998103523, 744513.6737160548, 740495.0229617732, 740399.1298507198, 738616.960770492, 737692.3831881039, 737039.6312714046, 735692.1031259795, 735485.3460148781, 735044.7005785258, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208]",100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]","[744513.6737160548, 740495.0229617732, 740399.1298507198, 738616.960770492, 737692.3831881039, 737039.6312714046, 735692.1031259795, 735485.3460148781, 735044.7005785258, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208, 734801.5473137208]",0.05,"[16, 19, 6, 15, 11, 8, 4, 19, 17, 2, 15, 15, 5, 19, 14, 5, 4, 16, 19, 7]",188760.5249838829,0.65
30,1,1,100,1063247.2275436,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",25694.524691713945,"[1081080.4219538814, 1070050.3076686363, 1068225.3062026042, 1066396.0011735596, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436]",100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]","[1070050.3076686363, 1068225.3062026042, 1066396.0011735596, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436, 1063247.2275436]",0.05,"[22, 29, 2, 23, 1, 20, 15, 30, 5, 9, 15, 29, 1, 22, 21, 11, 3, 27, 29, 2, 20, 25, 18, 1, 20, 7, 4, 23, 22, 4]",203557.72461891174,0.65
40,1,1,100,1421175.895813298,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",25694.524691713945,"[1457044.0925848025, 1453729.298978774, 1444234.1097374689, 1430632.3130289454, 1425044.5919986197, 1425002.1605356487, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298]",100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]","[1453729.298978774, 1444234.1097374689, 1430632.3130289454, 1425044.5919986197, 1425002.1605356487, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298, 1421175.895813298]",0.05,"[36, 37, 27, 34, 39, 9, 5, 14, 40, 4, 25, 35, 36, 2, 25, 2, 31, 30, 6, 32, 39, 35, 13, 40, 39, 29, 5, 11, 12, 2, 11, 40, 22, 15, 35, 3, 19, 22, 40, 35]",222753.07148694992,0.65
50,1,1,100,1777556.3788439906,Case: 0001,"[0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469, 0.1292959076726528, 0.012080143692040753, 0.11774527484264284, 0.14827825264153072, 0.10535147887691226, 0.21614654873769518, 0.030415600925415776, 0.0940779664492284, 0.008021256844334343, 0.1385875693175469]",25694.524691713945,"[1787467.1892225035, 1784578.1139228763, 1780231.5918292778, 1779661.5284352028, 1779477.4698162668, 1777870.0681228787, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906]",100000,"[0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445, 0.12051960793235561, 0.054877021054088294, 1.158296318440782, 1.971688482145056, 0.11648978834892604, 0.9370235535156198, 0.36734502694181936, 0.39818931017407533, 0.02660308021882079, 5.6440957663004445]","[893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268, 893.4173694734534, 474.30758655255397, 995.8569528890195, 9.41319818854397, 966.7525752691864, 366.2478922169132, 195.01109466639124, 58.46404166997258, 947.4162254159223, 533.5925827875268]","[1784578.1139228763, 1780231.5918292778, 1779661.5284352028, 1779477.4698162668, 1777870.0681228787, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906, 1777556.3788439906]",0.05,"[14, 41, 19, 28, 33, 15, 42, 40, 33, 22, 37, 3, 31, 35, 14, 21, 2, 38, 50, 16, 6, 30, 16, 10, 28, 17, 16, 26, 4, 21, 12, 35, 4, 5, 35, 8, 31, 50, 37, 27, 17, 45, 24, 35, 38, 32, 12, 44, 17, 25]",219503.71632909775,0.65
