num_SKU,lamda,skillCost,GA_best_cost,holding_cost_min,utilization_rate,best_cost_record,machineCost,record_of_min,penalty_cost,var_level,GA_best_priority,GA_run_time
20,1,100,74330.29278521914,100,0.8,"[79543.50805705103, 78056.3580304832, 77411.42388295261, 76100.62296698183, 74871.73980337533, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914]",10000,"[78056.3580304832, 77411.42388295261, 76100.62296698183, 74871.73980337533, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914, 74330.29278521914]",24016.713956550924,0.05,"[15, 4, 20, 6, 11, 17, 15, 17, 9, 11, 3, 15, 6, 8, 5, 2, 20, 17, 9, 8]",189669.76913285255
10,1,100,109940.47081320031,100,0.8,"[112097.03406420295, 111588.92256141717, 111336.49714789257, 109973.80063460808, 109967.68957623432, 109967.68957623432, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031]",10000,"[111588.92256141717, 111336.49714789257, 109973.80063460808, 109967.68957623432, 109967.68957623432, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031, 109940.47081320031]",21257.233583186353,0.05,"[4, 3, 9, 7, 4, 3, 9, 10, 4, 3]",182307.79214787483
20,1,100,530096.1490570637,1,0.8,"[552239.3253043937, 550345.172112092, 541495.570004255, 536896.572831669, 536458.8608986918, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637]",100000,"[550345.172112092, 541495.570004255, 536896.572831669, 536458.8608986918, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637, 530096.1490570637]",16817.197139997286,0.05,"[18, 8, 12, 18, 8, 8, 13, 7, 11, 18, 3, 11, 9, 17, 8, 5, 19, 7, 4, 11]",280474.0268969536
10,1,100,868393.8429699511,1,0.8,"[868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511]",100000,"[868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511, 868393.8429699511]",11197.92354236123,0.05,"[8, 4, 10, 5, 8, 6, 4, 1, 5, 7]",180382.46770882607
20,1,100,77623.93255904262,1,0.8,"[84783.52600992536, 81337.85704361035, 79875.88606322985, 79066.13913585096, 78197.24115153523, 78197.24115153523, 77827.03641780821, 77827.03641780821, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262]",10000,"[81337.85704361035, 79875.88606322985, 79066.13913585096, 78197.24115153523, 78197.24115153523, 77827.03641780821, 77827.03641780821, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262, 77623.93255904262]",23745.960147704027,0.05,"[13, 19, 3, 20, 12, 1, 19, 3, 6, 6, 11, 9, 13, 3, 9, 4, 13, 19, 1, 1]",281638.13562202454
10,1,100,114454.36286436298,1,0.8,"[123716.90668926438, 118831.49290983082, 115446.66425448275, 115093.73650447057, 115093.73650447057, 114653.40807140313, 114653.40807140313, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298]",10000,"[118831.49290983082, 115446.66425448275, 115093.73650447057, 115093.73650447057, 114653.40807140313, 114653.40807140313, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298, 114454.36286436298]",31685.961815052666,0.05,"[3, 10, 10, 5, 2, 8, 1, 3, 5, 7]",188883.13090205193
10,1,100,72682.42213790615,100,0.8,"[73805.91132921902, 73246.25149758076, 73246.25149758076, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615]",10000,"[73246.25149758076, 73246.25149758076, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615, 72682.42213790615]",21743.13122789272,0.05,"[3, 7, 10, 5, 6, 10, 7, 6, 6, 9]",265536.1926419735
20,1,100,117065.6605947761,100,0.8,"[124328.77290096362, 118945.46288927794, 118945.46288927794, 118338.57244899466, 117685.19713761605, 117685.19713761605, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761]",10000,"[118945.46288927794, 118945.46288927794, 118338.57244899466, 117685.19713761605, 117685.19713761605, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761, 117065.6605947761]",21409.489909841628,0.05,"[2, 8, 9, 5, 11, 3, 8, 17, 1, 9, 4, 6, 19, 2, 15, 13, 20, 4, 16, 3]",281566.1710450649
10,1,100,523983.63855513086,100,0.8,"[532207.8339972126, 524449.546535443, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086]",100000,"[524449.546535443, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086, 523983.63855513086]",23139.50639975645,0.05,"[8, 1, 10, 7, 2, 4, 7, 8, 10, 5]",199998.68200802803
20,1,100,864700.8713049778,100,0.8,"[891829.1308260678, 870017.9792283186, 869919.6471046393, 868639.0016519821, 864782.371882946, 864782.371882946, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778]",100000,"[870017.9792283186, 869919.6471046393, 868639.0016519821, 864782.371882946, 864782.371882946, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778, 864700.8713049778]",28356.549203413048,0.05,"[2, 4, 10, 16, 2, 11, 6, 12, 10, 6, 2, 16, 17, 5, 9, 2, 13, 9, 10, 20]",213025.49004101753
